MetPetDB term	similarity	closest cinergi term
ATOMIC ABSORPTION	0.5714285714285714	Atomic Absorption Spectrometer
ALPHA COUNTING	0.4444444444444444	k-mer counting
ALPHA COUNTING ISOTOPE DILUTION	0.28846153846153844	Thermoluminescence Photon Counting System
AR40_AR39 AGE DETERMINATION	0.42424242424242425	Structure determination
CALCULATED	0.375	Vienna RNA Calculated Energy
COLORIMETRIC	0.5555555555555556	Colorimetric Reagent
COULOMETRICAL ANALYSIS	0.3333333333333333	Data analysis
DIRECT CURRENT PLASMA	0.40540540540540543	Plasma Electron and Current Experiment
DIRECT READING OPTICAL EMISSIONS SPECTROSCOPY	0.36065573770491804	INDUCTIVELY COUPLED PLASMA EMISSION SPECTROSCOPY
ELECTRON MICROPROBE	0.5416666666666666	Electron Microscopy Model
ENAA
EMISSION SPECTROMETRY	0.5454545454545454	Mass Spectrometry
FISSION TRACK	0.42105263157894735	Annotation track
FLAME EMISSION SPECTROSCOPY	0.4583333333333333	INDUCTIVELY COUPLED PLASMA EMISSION SPECTROSCOPY
FLAME PHOTOMETRY	0.2727272727272727	flame retardant
GRADIENT ION-CHROMATOGRAPHY	0.23529411764705882	Temperature Gradient
GRAVIMETRY
HIGH-RESOLUTION ICP-MS	0.4444444444444444	High-Resolution Infrared Radiometer
ICP
OPTICAL EMISSION SPECTROSPCOPY	0.28125	Emission matrix
ICP ATOMIC EMISSION SPECTRO	0.4230769230769231	Inductively Coupled Plasma Atomic Emission Spectrometer
ICP-MS ISOTOPE DILUTION	0.2962962962962963	Carbon Isotope
IGNITION	0.5	Loss On Ignition
INSTRUMENTAL NEUTRON ACTIVATION ANALYSIS	0.3170731707317073	NEUTRON MONITOR STATIONS
ION SENSITIVE ELECTRODE	0.3023255813953488	Sensitive High Resolution Ion Microprobe
K-AR AGE DETERMINATION	0.4827586206896552	Structure determination
LA-ICPMS
LAICP
Laser Ablation Microprobe ICPMS	0.35555555555555557	Sensitive High Resolution Ion Microprobe
MANOMETRY
MULTI-COLLECTOR ICP-MS	0.23809523809523808	ICP-MS
ISOTOPE DILUTION MASS SPECTROMETRY	0.4838709677419355	Mass Spectrometry
NEUTRON ACTIVATION ANALYSIS	0.36	Data analysis
